,Anon. ID,Q1,Q2_total,Q2s_1,Q2s_2,Q2s_3,Q2s_4,Q2s_5,Q2s_6,Q2s_7,Q2s_8,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15
0,8193,7,36,1,2,3,4,5,6,7,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,20486,6,16,1,0,0,4,5,6,0,0,4,5,0,0,5,0,5,5,2,3,5,2,5
2,20493,6,4,0,0,0,4,0,0,0,0,3,0,5,3,5,0,5,5,3,2,1,1,2
3,20499,3,9,0,2,3,4,0,0,0,0,1,5,5,5,2,1,3,5,2,3,5,3,5
4,45077,5,3,0,0,3,0,0,0,0,0,0,2,0,0,0,0,3,0,0,2,0,0,2
5,20502,2,3,1,2,0,0,0,0,0,0,4,0,0,5,2,2,3,5,0,0,3,0,0
6,20503,3,10,1,2,3,4,0,0,0,0,3,5,5,5,0,3,5,0,0,3,5,3,3
7,8225,6,10,1,2,3,4,0,0,0,0,0,5,3,0,0,0,5,0,0,3,0,3,3
8,20516,2,26,1,2,0,4,5,6,0,8,4,0,3,2,0,0,2,0,5,1,5,5,0
9,24614,3,12,1,2,3,0,0,6,0,0,4,5,3,3,3,3,3,5,3,3,3,3,3
10,20522,3,6,1,0,0,0,5,0,0,0,3,3,3,0,3,2,2,5,2,2,2,3,2
11,45098,2,3,0,0,3,0,0,0,0,0,4,1,3,0,1,1,5,5,3,2,3,0,0
12,45101,7,12,0,0,0,4,0,0,0,8,3,2,3,0,2,3,2,3,0,3,1,3,2
13,47,3,4,1,0,3,0,0,0,0,0,1,5,5,0,0,0,0,5,0,2,3,3,2
14,81966,2,1,1,0,0,0,0,0,0,0,0,0,0,3,3,5,3,0,3,0,0,0,0
15,20528,1,4,0,0,0,4,0,0,0,0,2,5,2,5,3,0,0,5,0,0,5,0,3
16,4144,6,7,1,0,0,0,0,6,0,0,2,5,2,3,2,1,3,0,5,1,5,2,3
17,8241,2,28,1,2,3,4,5,6,7,0,5,5,5,5,3,3,5,5,5,3,5,5,3
18,20530,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
19,20532,6,28,1,2,3,4,5,6,7,0,2,5,2,5,5,3,5,5,3,3,3,3,3
20,56,3,21,1,2,3,4,5,6,0,0,2,5,0,0,5,0,0,5,0,3,0,0,0
21,90174,3,21,1,2,3,4,5,6,0,0,1,5,0,0,0,2,0,5,2,2,0,0,5
22,36928,3,6,1,2,3,0,0,0,0,0,3,5,3,5,5,3,5,5,2,2,5,1,1
23,24641,5,1,1,0,0,0,0,0,0,0,1,0,2,3,1,1,3,3,3,2,2,3,3
24,71,4,1,1,0,0,0,0,0,0,0,4,0,3,5,3,2,1,3,5,0,3,0,2
25,49225,6,1,1,0,0,0,0,0,0,0,4,2,0,3,2,0,3,2,5,5,0,1,5
26,90187,6,3,0,0,3,0,0,0,0,0,2,3,3,5,3,0,5,5,3,5,3,3,5
27,49228,1,8,0,0,0,0,0,0,0,8,1,5,3,5,5,5,0,5,2,5,2,3,0
28,81997,3,1,1,0,0,0,0,0,0,0,3,3,3,3,3,2,0,0,2,3,3,0,5
29,12373,2,4,0,0,0,4,0,0,0,0,2,3,0,5,3,1,5,5,2,2,5,3,1
30,93,3,4,0,0,0,4,0,0,0,0,5,0,3,2,3,0,2,3,0,3,3,2,0
31,69731,3,8,1,2,0,0,5,0,0,0,3,0,3,0,3,0,5,5,2,3,5,2,5
32, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,8295,6,10,1,2,3,4,0,0,0,0,1,5,3,5,2,2,0,0,2,3,0,3,0
34,8296,6,16,1,2,3,4,0,6,0,0,2,5,0,5,3,2,0,5,2,3,5,3,0
35,65640,6,25,1,2,3,4,0,0,7,8,4,5,1,5,1,1,5,5,2,1,5,1,5
36,24682,2,3,0,0,3,0,0,0,0,0,2,0,0,5,2,2,5,0,3,0,3,3,3
37,20591,4,23,1,2,3,4,0,6,7,0,2,5,0,5,3,0,5,5,3,0,5,3,5
38,24690,6,3,0,0,3,0,0,0,0,0,3,5,0,5,0,3,5,5,3,3,0,0,0
39,8307,2,4,1,0,3,0,0,0,0,0,1,3,2,2,3,1,3,0,2,3,3,3,3
40,20601,3,6,1,2,3,0,0,0,0,0,0,3,3,3,0,0,3,3,0,3,5,5,2
41,94330,2,10,1,2,3,4,0,0,0,0,0,3,3,1,0,0,0,5,0,1,2,1,3
42,82047,3,8,1,0,3,4,0,0,0,0,0,0,5,2,0,0,0,3,0,0,0,0,0
43,4226,5,10,1,2,3,4,0,0,0,0,3,5,0,2,2,0,0,5,3,3,5,2,5
44,69762,2,5,1,0,0,4,0,0,0,0,3,2,5,0,2,3,1,5,3,1,0,3,0
45,36997,2,2,0,2,0,0,0,0,0,0,2,0,0,0,2,3,0,0,3,0,0,3,0
46,24710,5,4,1,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3,3,2,3
47,24714,3,4,0,0,0,4,0,0,0,0,2,0,5,3,3,3,3,3,2,3,3,3,3
48,24717,4,15,1,0,3,4,0,0,7,0,4,0,3,1,1,1,0,3,2,1,0,1,2
49,142,5,1,1,0,0,0,0,0,0,0,0,2,2,2,1,1,2,3,1,2,3,3,1
50,12432,2,3,0,0,3,0,0,0,0,0,2,0,5,5,2,2,0,5,2,1,2,1,3
51,149,5,4,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
52,8342,2,9,0,2,3,4,0,0,0,0,1,0,3,0,2,0,0,5,0,1,5,0,5
53,20636,3,22,1,2,3,4,5,0,7,0,4,0,0,5,3,0,3,5,0,5,3,0,0
54,94367,3,15,1,2,3,4,5,0,0,0,2,2,5,0,0,3,3,0,0,0,0,5,0
55,167,3,1,1,0,0,0,0,0,0,0,1,0,2,5,0,0,3,2,0,3,3,2,2
56,94374,7,3,0,0,3,0,0,0,0,0,0,1,1,3,0,1,1,2,1,1,3,3,3
57,20653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,182,2,7,0,0,0,0,0,0,7,0,3,5,3,3,3,3,3,0,3,3,3,3,3
59,20662,2,1,1,0,0,0,0,0,0,0,2,5,5,0,5,5,5,0,5,5,5,5,0
60,24759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,20663,2,3,0,0,3,0,0,0,0,0,1,2,2,3,3,2,3,5,2,5,2,5,2
62,184,3,2,0,2,0,0,0,0,0,0,0,3,2,0,0,0,0,5,2,2,0,2,0
63,69819,2,3,0,0,3,0,0,0,0,0,1,5,0,1,0,0,0,5,1,1,0,1,3
64,24763,3,1,1,0,0,0,0,0,0,0,1,2,3,3,0,2,3,3,2,3,3,2,3
65,69818,5,10,1,2,3,4,0,0,0,0,2,0,1,0,0,0,0,0,2,2,2,0,2
66,20668,2,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,2,0,0,0
67,49347,3,21,1,2,3,4,5,6,0,0,4,5,0,5,0,0,0,5,0,2,0,1,1
68,12484,5,15,0,0,0,0,0,0,7,8,4,3,2,1,3,3,3,3,3,3,3,5,3
69,94404,3,1,1,0,0,0,0,0,0,0,0,3,2,5,2,1,2,3,1,5,5,1,0
70,73931,3,4,0,0,0,4,0,0,0,0,4,1,1,3,0,3,0,0,5,5,5,2,1
71,12490,3,6,0,2,0,4,0,0,0,0,4,2,3,3,3,2,0,2,2,0,3,2,0
72,49355,3,10,1,2,3,4,0,0,0,0,3,5,0,3,0,5,2,0,5,0,5,3,0
73,65742,2,7,1,2,0,4,0,0,0,0,0,3,3,3,3,3,0,0,3,1,3,3,3
74,24784,7,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
75,65747,3,1,1,0,0,0,0,0,0,0,4,0,3,0,0,2,2,3,0,0,0,3,3
76,12498,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,32983,7,10,1,2,3,4,0,0,0,0,2,2,2,0,0,0,5,0,0,2,2,1,0
78,20698,2,8,0,0,0,0,0,0,0,8,3,0,0,2,0,0,1,2,0,0,1,1,0
79,49373,2,11,0,0,0,0,5,6,0,0,5,5,3,5,5,2,0,5,1,2,2,2,3
80,49376,3,5,0,0,0,0,5,0,0,0,2,5,5,5,5,5,5,5,5,5,5,5,5
81,24803,2,7,1,2,0,4,0,0,0,0,0,0,3,2,0,0,2,2,0,2,0,2,2
82,12521,2,10,1,2,3,4,0,0,0,0,1,5,5,0,2,2,0,5,2,2,0,3,3
83,65770,3,3,1,2,0,0,0,0,0,0,2,5,5,5,3,2,3,3,0,2,3,3,2
84,65774,2,6,0,0,0,0,0,6,0,0,1,2,0,2,3,0,0,0,0,1,0,0,1
85,65778,5,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,1,1,1,1,1,0
86,8440,5,4,1,0,3,0,0,0,0,0,0,3,0,5,0,0,2,3,0,3,3,5,3
87,73984,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,8452,6,16,1,0,0,0,0,0,7,8,3,5,0,5,3,5,5,3,5,5,0,5,5
89,4360,2,0,0,0,0,0,0,0,0,0,1,2,3,3,2,2,2,3,2,2,3,2,2
90,73992,2,1,1,0,0,0,0,0,0,0,1,2,2,2,3,2,3,0,0,2,0,2,0
91,4364,3,1,1,0,0,0,0,0,0,0,3,0,0,3,3,3,3,3,0,0,2,2,3
92,49421,6,18,0,0,0,4,0,6,0,8,6,5,5,5,2,3,0,5,0,0,3,0,5
93,94480,7,0,0,0,0,0,0,0,0,0,3,0,3,2,0,2,5,0,1,3,3,1,0
94,69919,6,10,1,2,3,4,0,0,0,0,4,0,0,5,0,0,0,5,0,1,0,5,5
95,287,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
96,293,2,7,1,2,0,4,0,0,0,0,0,2,3,3,0,0,0,0,0,1,0,2,2
97,69929,2,10,1,2,3,4,0,0,0,0,3,3,3,0,1,1,3,0,0,2,2,2,3
98,4397,6,4,0,0,0,4,0,0,0,0,4,5,3,5,5,5,5,5,5,3,5,3,5
99,12590,4,5,1,0,0,4,0,0,0,0,5,0,3,5,2,1,5,5,2,3,5,5,5
100,304,3,21,1,2,3,4,5,6,0,0,2,5,2,5,5,2,5,3,2,2,0,3,0
101,49457,2,12,1,0,3,0,0,0,0,8,5,3,0,2,0,3,0,3,0,3,0,3,0
102,74036,2,6,1,2,3,0,0,0,0,0,1,5,3,5,0,3,5,5,3,3,3,2,0
103,69943,6,15,1,2,3,4,5,0,0,0,4,5,2,5,0,0,5,5,0,2,0,5,5
104,12598,5,4,0,0,0,4,0,0,0,0,4,3,3,5,3,3,5,5,3,3,5,3,3
105,12601,6,15,1,2,3,4,5,0,0,0,4,0,3,0,0,5,5,5,0,5,5,5,5
106,69944,7,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
