Anon. ID,Age,Gender,Home Region,Home Post Code,Work Region,Work Post Code,Country of Residence,Nationality,Personal Earnings,Household Earnings,Education Level,Relationship Status,Employment Status,Employment Type,Employment Sector,Professional Experience,Parental Status,Home Owner/Renter,Adults in Household,Children in Household,Age and Gender of Child,Role in Household,Pets,Q1_R1,Q1_R2,Q1_R3,Q1_R4,Q1_R5,Q1_R6,Q1_R7,Q2_R1,Q2_R2,Q2_R3,Q2_R4,Q2_R5,Q2_R6,Q2_R7,Q2_R8,Q2_R9_None,Q3_R1,Q3_R2,Q3_R3,Q3_R4,Q3_R5,Q3_R6,Q3_R7,Q3_R8,Q4_R1,Q4_R2,Q4_R3,Q4_R4,Q4_R5,Q4_R6,Q5_R1,Q5_R2,Q5_R3,Q5_R4,Q5_R5,Q5_R6,Q6_R1,Q6_R2,Q6_R3,Q6_R4,Q6_R5,Q6_R6,Q7_R1,Q7_R2,Q7_R3,Q7_R4,Q7_R5,Q7_R6,Q8_R1,Q8_R2,Q8_R3,Q8_R4,Q8_R5,Q8_R6,Q9_R1,Q9_R2,Q9_R3,Q9_R4,Q9_R5,Q9_R6,Q10_R1,Q10_R2,Q10_R3,Q10_R4,Q10_R5,Q10_R6,Q11_R1,Q11_R2,Q11_R3,Q11_R4,Q11_R5,Q11_R6,Q12_R1,Q12_R2,Q12_R3,Q12_R4,Q12_R5,Q12_R6,Q13_R1,Q13_R2,Q13_R3,Q13_R4,Q13_R5,Q13_R6,Q14_R1,Q14_R2,Q14_R3,Q14_R4,Q14_R5,Q14_R6,Q14_R7_None,Q15_R1,Q15_R2,Q15_R3,Q15_R4,Q15_R5,Q15_R6
8193,30,Female,Yorkshire & Humber,BD5,Yorkshire & Humber,BD5,,United Kingdom,"Less than £15,000","£15,000 to £19,999",O Levels or GCSEs equivalent,"Single, never married",Employed as employee,Employed part-time,Other,Intern,1+ children under 18,Rented House,2,,"Boy age 7, Boy age 11, Boy age 12","Cooking, Cleaning, Laundry, Childcare","Cat(s), Dog(s)",,,,,,,There's nothing I can't do with data,Understanding a table of numbers,Interpreting graphs to spot trends,"Doing my own basic analysis on a dataset e.g. finding the total, average, min and max","Making a graph from a dataset e.g. stacked bar, line, scatter",Using pivot tables to analyse a dataset,"Doing my own analysis using advanced logic e.g. using VLOOKUP, IF",Writing my own computer code to analyse data,Building software and analytical products,,,,,,,,,I never use datasets,,,I would like to have,,,,,,I would like to have,,,,,,I would like to have,,,,,,I would like to have,,,,,,I would like to have,,,,,,I would like to have,,,,,,I would like to have,,,,,,I would like to have,,,,,,I would like to have,,,,,,I would like to have,,,,,,I would like to have,,,,,,,I would like to have,,,
20486,43,Female,East Midlands,LN6,East Midlands,LN1,,United Kingdom,"£75,000 to £84,999","£85,000 to £99,999",Post Graduate: other/not PhD or MA,Domestic partnership/living with someone,Employed as employee,Employed full-time,Government/Public Sector,"Director (Group Director, Sr. Director, Director)",1+ children under 18,Owned House,2,,Male teen age 13,"Cooking, Cleaning, Laundry, Finances, Healthcare, Childcare",I do not have any pets,,,,,,I frequently analyse data for myself or others,,Understanding a table of numbers,,,"Making a graph from a dataset e.g. stacked bar, line, scatter",Using pivot tables to analyse a dataset,"Doing my own analysis using advanced logic e.g. using VLOOKUP, IF",,,,,,,"less than 1,000MB (=1GB) in size",,,,,I need and use frequently,,,,,,,I need and use infrequently,,,,,,I need and use infrequently,,,,,I need and use frequently,,,,,,,I need and use infrequently,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,,,,I'm indifferent in having,,,,,I would like to have,,,,I need and use frequently,,,,,,,,,I'm indifferent in having,,,,I need and use frequently,,,,,
20493,23,Female,West Midlands,B65,West Midlands,,,United Kingdom,"Less than £15,000","£20,000 to £24,999",O Levels or GCSEs equivalent,"Single, never married",Unable to work,Disabled,None,None,No children/Not pregnant,Living with Parents,2,,None,"Cleaning, Laundry","Small animals or rodents (hamsters, mice, rabbits, ferrets, etc.)",,,,,,I frequently analyse data for myself or others,,,,,"Making a graph from a dataset e.g. stacked bar, line, scatter",,,,,,,,less than 100MB in size,,,,,,,I need and use infrequently,,,,,I need and use frequently,,,,,,,,I would like to have,,,,I need and use frequently,,,,,,,I need and use infrequently,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,,,I would like to have,,,,,,,I'm indifferent in having,,,,,,,I don't want this,,,,,,I don't want this,,,,,,I'm indifferent in having,,
20499,34,Male,Scotland,G12,Scotland,G12,,United Kingdom,"£30,000 to £34,999","£50,000 to £59,999",Undergraduate Degree: 4 or more years,Domestic partnership/living with someone,Self-employed/business owner,Self-employed full-time,Energy/Utilities/Oil and Gas,"Director (Group Director, Sr. Director, Director)",No children/Not pregnant,Owned Flat,2,,,"Cooking, Cleaning, Laundry, Finances",Dog(s),,,I frequently read graphs and tables of numbers,,,,,,Interpreting graphs to spot trends,"Doing my own basic analysis on a dataset e.g. finding the total, average, min and max","Making a graph from a dataset e.g. stacked bar, line, scatter",,,,,,less than 1 MB in size,,,,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,,,,I'm indifferent in having,,,,,,,I don't want this,,,,I would like to have,,,,I need and use frequently,,,,,,,,,I'm indifferent in having,,,,,I would like to have,,,,I need and use frequently,,,,,,,,I would like to have,,,,,I need and use frequently,,,,,
45077,35,Female,London,CR2,London,N/A,,United Kingdom,"Less than £15,000","£20,000 to £24,999",O Levels or GCSEs,Married,Homemaker,Full-time homemaker,None,Assistant or Associate,1+ children under 18,Rented Flat,2,,Girl age 10,"Cooking, Cleaning, Laundry, Finances, Healthcare, Childcare",Cat(s),,,,,I occasionally analyse data for myself or others,,,,,"Doing my own basic analysis on a dataset e.g. finding the total, average, min and max",,,,,,,,,,,,,,I never use datasets,,,,I'm indifferent in having,,,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,I would like to have,,,,,I need and use infrequently,,,,,,,,,,I don't know what this is,,,,I'm indifferent in having,,,,I need and use infrequently,,,,,,I need and use infrequently,,,,,,,,,I'm indifferent in having,,
20502,36,Female,South East,RG5,South East,RG5,,United Kingdom,"Less than £15,000","£40,000 to £44,999",Post Graduate: MA,Married,Employed as employee,Employed part-time,Education,"Manager (Group Manager, Sr. Manager, Manager, Program Manager)",1+ children under 18,Owned House,2,,"Boy age 3, Boy age 7","Cooking, Cleaning, Laundry, Healthcare, Childcare",Fish,,I occasionally read graphs and tables of numbers,,,,,,Understanding a table of numbers,Interpreting graphs to spot trends,,,,,,,,,,,"less than 1,000MB (=1GB) in size",,,,,,I need and use infrequently,,,,,,I need and use infrequently,,,,,I need and use frequently,,,,,,,,,I'm indifferent in having,,,,,,I'm indifferent in having,,,,,I would like to have,,,,I need and use frequently,,,,,,,,,,,I don't know what this is,,I need and use infrequently,,,,,,,I would like to have,,,,,I need and use infrequently,,,,,,,I need and use infrequently,,,,
20503,34,Male,Yorkshire & Humber,,Yorkshire & Humber,LS27,,United Kingdom,"£20,000 to £24,999","£30,000 to £34,999",O Levels or GCSEs equivalent,Married,Self-employed/business owner,Employed full-time,Sales,"Manager (Group Manager, Sr. Manager, Manager, Program Manager)",1+ children under 18,Rented House,2,,"Boy age 5, Girl age 10","Cooking, Cleaning, Laundry, Childcare",Dog(s),,,I frequently read graphs and tables of numbers,,,,,Understanding a table of numbers,Interpreting graphs to spot trends,"Doing my own basic analysis on a dataset e.g. finding the total, average, min and max","Making a graph from a dataset e.g. stacked bar, line, scatter",,,,,,,,less than 100MB in size,,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,,I need and use infrequently,,,,,,,I would like to have,,,,I need and use frequently,,,,,,,I need and use infrequently,,,,,,I need and use infrequently,,,,,,,I would like to have,,,,I need and use frequently,,,,,,,,I would like to have,,,,,,,I would like to have,,,
8225,21,Female,South East,PO4,South East,N/A,,"China, Democratic Republic of the Congo, Ethiopia, Haiti","Less than £15,000","£200,000 and above",Post Graduate: MA,"Single, never married",Student,Student,None,None,No children/Not pregnant,Rented Flat,>5,,None,"Cooking, Cleaning, Laundry",I do not have any pets,,,,,,I frequently analyse data for myself or others,,Understanding a table of numbers,Interpreting graphs to spot trends,"Doing my own basic analysis on a dataset e.g. finding the total, average, min and max","Making a graph from a dataset e.g. stacked bar, line, scatter",,,,,,,,,,,,,I never use datasets,I need and use frequently,,,,,,,,I would like to have,,,,,I need and use infrequently,,,,,,,,,,I don't know what this is,,,,,,I don't know what this is,I need and use frequently,,,,,,,I need and use infrequently,,,,,,,,,,I don't know what this is,,,I would like to have,,,,,I need and use infrequently,,,,,,,I would like to have,,,,,,,I would like to have,,,
20516,44,Male,South East,BN21,South East,TN21,,United Kingdom,"£25,000 to £29,999","£25,000 to £29,999",Undergraduate Degree: less than 2 years,"Separate, divorced or widowed",Employed as employee,Self-employed full-time,Automotive,"Manager (Group Manager, Sr. Manager, Manager, Program Manager)",1+ children under 18,Owned House,2,,"Boy under age 1, Girl under age 1, Boy age 1, Girl age 1, Boy age 2, Girl age 2, Boy age 3, Girl age 3, Boy age 4, Girl age 4, Boy age 5, Girl age 5, Boy age 6, Girl age 6, Boy age 7, Girl age 7, Boy age 8, Girl age 8, Boy age 9, Girl age 9, Boy age 10, Girl age 10, Boy age 11, Girl age 11, Boy age 12, Girl age 12, Male teen age 13, Female teen age 13, Male teen age 14, Female teen age 14, Male teen age 15, Female teen age 15, Male teen age 16, Female teen age 16, Male teen age 17, Female teen age 17","Cooking, Cleaning, Laundry, Finances, Healthcare, Childcare","Dog(s), Bird(s)",,I occasionally read graphs and tables of numbers,,,,,,Understanding a table of numbers,Interpreting graphs to spot trends,,"Making a graph from a dataset e.g. stacked bar, line, scatter",Using pivot tables to analyse a dataset,"Doing my own analysis using advanced logic e.g. using VLOOKUP, IF",,Building software and analytical products,,,,,"less than 1,000MB (=1GB) in size",,,,,,I need and use infrequently,,,,,,,I would like to have,,,,,,,I'm indifferent in having,,,,I need and use infrequently,,,,,,I need and use infrequently,,,,,,,,I'm indifferent in having,,,,I need and use infrequently,,,,,I need and use frequently,,,,,,,,,,I don't want this,,I need and use frequently,,,,,,I need and use frequently,,,,,,,,I need and use infrequently,,,,
24614,31,Male,Scotland,ML6,Scotland,G1,,United Kingdom,"£20,000 to £24,999","£20,000 to £24,999",O Levels or GCSEs,Married,Employed as employee,Employed full-time,Banking/Financial,"Manager (Group Manager, Sr. Manager, Manager, Program Manager)",1+ children under 18,Owned Flat,2,,Boy age 1,"Cooking, Cleaning, Laundry, Finances, Healthcare, Childcare",Dog(s),,,I frequently read graphs and tables of numbers,,,,,Understanding a table of numbers,Interpreting graphs to spot trends,"Doing my own basic analysis on a dataset e.g. finding the total, average, min and max",,,"Doing my own analysis using advanced logic e.g. using VLOOKUP, IF",,,,,,,"less than 1,000MB (=1GB) in size",,,,,I need and use frequently,,,,,,,,I would like to have,,,,,,I would like to have,,,,,,I would like to have,,,,,,I would like to have,,,,,,I would like to have,,,,I need and use frequently,,,,,,,,I would like to have,,,,,,I would like to have,,,,,,I would like to have,,,,,,I would like to have,,,,,,,I would like to have,,,
